ICD10CodeID,Code,ICD_Title
164,A31,Infection due to other mycobacteria
165,A31.0,Pulmonary mycobacterial infection
166,A31.1,Cutaneous mycobacterial infection
167,A31.8,Other mycobacterial infections
168,A31.9,"Mycobacterial infection, unspecified"
169,A32,Listeriosis
170,A32.0,Cutaneous listeriosis
171,A32.1,Listerial meningitis and meningoencephalitis
172,A32.7,Listerial septicemia
173,A32.8,Other forms of listeriosis
174,A32.9,"Listeriosis, unspecified"
175,A33,Tetanus neonatorum
176,A34,Obstetrical tetanus
177,A35,Other tetanus
178,A36,Diphtheria
179,A36.0,Pharyngeal diphtheria
180,A36.1,Nasopharyngeal diphtheria
181,A36.2,Laryngeal diphtheria
182,A36.3,Cutaneous diphtheria
183,A36.8,Other diphtheria
184,A36.9,"Diphtheria, unspecified"
185,A37,Whooping cough
186,A37.0,Whooping cough due to Bordetella pertussis
187,A37.1,Whooping cough due to Bordetella parapertussis
188,A37.8,Whooping cough due to other Bordetella species
189,A37.9,"Whooping cough, unspecified"
190,A38,Scarlet fever
191,A39,Meningococcal infection
192,A39.0,Meningococcal meningitis
193,A39.1,Waterhouse-Friderichsen syndrome
194,A39.2,Acute meningococcemia
195,A39.3,Chronic meningococcemia
196,A39.4,"Meningococcemia, unspecified"
197,A39.5,Meningococcal heart disease
198,A39.8,Other meningococcal infections
199,A39.9,"Meningococcal infection, unspecified"
200,A40,Streptococcal sepsis
201,A40.0,"Septicemia due to streptococcus, group A"
202,A40.1,"Septicemia due to streptococcus, group B"
203,A40.2,"Septicemia due to streptococcus, group D"
204,A40.3,Septicemia due to Streptococcus pneumoniae
205,A40.8,Other streptococcal septicemia
206,A40.9,"Streptococcal septicemia, unspecified"
207,A41,Other sepsis
208,A41.0,Septicemia due to Staphylococcus aureus
209,A41.1,Septicemia due to other specified staphylococcus
210,A41.2,Septicemia due to unspecified staphylococcus
211,A41.3,Septicemia due to Hemophilus influenzae
212,A41.4,Septicemia due to anaerobes
213,A41.5,Septicemia due to other Gram-negative organisms
214,A41.8,Other specified septicemia
215,A41.9,"Septicemia, unspecified"
216,A42,Actinomycosis
217,A42.0,Pulmonary actinomycosis
218,A42.1,Abdominal actinomycosis
219,A42.2,Cervicofacial actinomycosis
220,A42.7,Actinomycotic septicemia
221,A42.8,Other forms of actinomycosis
222,A42.9,"Actinomycosis, unspecified"
223,A43,Nocardiosis
224,A43.0,Pulmonary nocardiosis
225,A43.1,Cutaneous nocardiosis
226,A43.8,Other forms of nocardiosis
227,A43.9,"Nocardiosis, unspecified"
228,A44,Bartonellosis
229,A44.0,Systemic bartonellosis
230,A44.1,Cutaneous and mucocutaneous bartonellosis
231,A44.8,Other forms of bartonellosis
232,A44.9,"Bartonellosis, unspecified"
233,A46,Erysipelas
234,A48,"Other bacterial diseases, not elsewhere classified"
235,A48.0,Gas gangrene
236,A48.1,Legionnaires' disease
237,A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever]
238,A48.3,Toxic shock syndrome
239,A48.4,Brazilian purpuric fever
240,A48.8,Other specified bacterial diseases
241,A49,Bacterial infection of unspecified site
242,A49.0,"Staphylococcal infection, unspecified"
243,A49.1,"Streptococcal infection, unspecified"
244,A49.2,"Hemophilus influenzae infection, unspecified"
245,A49.3,"Mycoplasma infection, unspecified"
246,A49.8,Other bacterial infections of unspecified site
247,A49.9,"Bacterial infection, unspecified"
248,A50,Congenital syphilis
249,A50.0,"Early congenital syphilis, symptomatic"
250,A50.1,"Early congenital syphilis, latent"
251,A50.2,"Early congenital syphilis, unspecified"
252,A50.3,Late congenital syphilitic oculopathy
253,A50.4,Late congenital neurosyphilis [juvenile neurosyphilis]
254,A50.5,"Other late congenital syphilis, symptomatic"
255,A50.6,"Late congenital syphilis, latent"
256,A50.7,"Late congenital syphilis, unspecified"
257,A50.9,"Congenital syphilis, unspecified"
258,A51,Early syphilis
259,A51.0,Primary genital syphilis
260,A51.1,Primary anal syphilis
261,A51.2,Primary syphilis of other sites
262,A51.3,Secondary syphilis of skin and mucous membranes
263,A51.4,Other secondary syphilis
264,A51.5,"Early syphilis, latent"
265,A51.9,"Early syphilis, unspecified"
266,A52,Late syphilis
267,A52.0,Cardiovascular syphilis
268,A52.1,Symptomatic neurosyphilis
269,A52.2,Asymptomatic neurosyphilis
270,A52.3,"Neurosyphilis, unspecified"
271,A52.7,Other symptomatic late syphilis
272,A52.8,"Late syphilis, latent"
273,A52.9,"Late syphilis, unspecified"
274,A53,Other and unspecified syphilis
275,A53.0,"Latent syphilis, unspecified as early or late"
276,A53.9,"Syphilis, unspecified"
277,A54,Gonococcal infection
278,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
279,A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
280,A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
281,A54.3,Gonococcal infection of eye
282,A54.4,Gonococcal infection of musculoskeletal system
283,A54.5,Gonococcal pharyngitis
284,A54.6,Gonococcal infection of anus and rectum
285,A54.8,Other gonococcal infections
286,A54.9,"Gonococcal infection, unspecified"
287,A55,Chlamydial lymphogranuloma (venereum)
288,A56,Other sexually transmitted chlamydial diseases
289,A56.0,Chlamydial infection of lower genitourinary tract
290,A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs
291,A56.2,"Chlamydial infection of genitourinary tract, unspecified"
292,A56.3,Chlamydial infection of anus and rectum
293,A56.4,Chlamydial infection of pharynx
294,A56.8,Sexually transmitted chlamydial infection of other sites
295,A57,Chancroid
296,A58,Granuloma inguinale
297,A59,Trichomoniasis
298,A59.0,Urogenital trichomoniasis
299,A59.8,Trichomoniasis of other sites
300,A59.9,"Trichomoniasis, unspecified"
301,A60,Anogenital herpesviral [herpes simplex] infections
302,A60.0,Herpesviral infection of genitalia and urogenital tract
303,A60.1,Herpesviral infection of perianal skin and rectum
304,A60.9,"Anogenital herpesviral infection, unspecified"
305,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
306,A63.0,Anogenital (venereal) warts
307,A63.8,Other specified predominantly sexually transmitted diseases
308,A64,Unspecified sexually transmitted disease
309,A65,Nonvenereal syphilis
310,A66,Yaws
311,A66.0,Initial lesions of yaws
312,A66.1,Multiple papillomata and wet crab yaws
313,A66.2,Other early skin lesions of yaws
314,A66.3,Hyperkeratosis of yaws
315,A66.4,Gummata and ulcers of yaws
316,A66.5,Gangosa
317,A66.6,Bone and joint lesions of yaws
318,A66.7,Other manifestations of yaws
319,A66.8,Latent yaws
320,A66.9,"Yaws, unspecified"
321,A67,Pinta [carate]
322,A67.0,Primary lesions of pinta
323,A67.1,Intermediate lesions of pinta
324,A67.2,Late lesions of pinta
325,A67.3,Mixed lesions of pinta
326,A67.9,"Pinta, unspecified"
327,A68,Relapsing fevers
328,A68.0,Louse-borne relapsing fever
329,A68.1,Tick-borne relapsing fever
330,A68.9,"Relapsing fever, unspecified"
331,A69,Other spirochetal infections
332,A69.0,Necrotizing ulcerative stomatitis
333,A69.1,Other Vincent's infections
334,A69.2,Lyme disease
335,A69.8,Other specified spirochetal infections
336,A69.9,"Spirochetal infection, unspecified"
337,A70,Chlamydia psittaci infections
338,A71,Trachoma
339,A71.0,Initial stage of trachoma
340,A71.1,Active stage of trachoma
341,A71.9,"Trachoma, unspecified"
342,A74,Other diseases caused by chlamydiae
343,A74.0,Chlamydial conjunctivitis
344,A74.8,Other chlamydial diseases
345,A74.9,"Chlamydial infection, unspecified"
346,A75,Typhus fever
347,A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
348,A75.1,Recrudescent typhus [Brill's disease]
349,A75.2,Typhus fever due to Rickettsia typhi
350,A75.3,Typhus fever due to Rickettsia tsutsugamushi
351,A75.9,"Typhus fever, unspecified"
352,A77,Spotted fever [tick-borne rickettsioses]
353,A77.0,Spotted fever due to Rickettsia rickettsii
354,A77.1,Spotted fever due to Rickettsia conorii
355,A77.2,Spotted fever due to Rickettsia sibirica
356,A77.3,Spotted fever due to Rickettsia australis
357,A77.8,Other spotted fevers
358,A77.9,"Spotted fever, unspecified"
359,A78,Q fever
360,A79,Other rickettsioses
361,A79.0,Trench fever
362,A79.1,Rickettsialpox due to Rickettsia akari
363,A79.8,Other specified rickettsioses
364,A79.9,"Rickettsiosis, unspecified"
365,A80,Acute poliomyelitis
366,A80.0,"Acute paralytic poliomyelitis, vaccine-associated"
367,A80.1,"Acute paralytic poliomyelitis, wild virus, imported"
368,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous"
369,A80.3,"Acute paralytic poliomyelitis, other and unspecified"
370,A80.4,Acute nonparalytic poliomyelitis
371,A80.9,"Acute poliomyelitis, unspecified"
372,A81,Atypical virus infections of central nervous system
373,A81.0,Creutzfeldt-Jakob disease
374,A81.1,Subacute sclerosing panencephalitis
375,A81.2,Progressive multifocal leukoencephalopathy
376,A81.8,Other atypical virus infections of central nervous system
377,A81.9,"Atypical virus infection of central nervous system, unspecified"
378,A82,Rabies
379,A82.0,Sylvatic rabies
380,A82.1,Urban rabies
381,A82.9,"Rabies, unspecified"
382,A83,Mosquito-borne viral encephalitis
383,A83.0,Japanese encephalitis
384,A83.1,Western equine encephalitis
385,A83.2,Eastern equine encephalitis
386,A83.3,St. Louis encephalitis
387,A83.4,Australian encephalitis
388,A83.5,California encephalitis
389,A83.6,Rocio virus disease
390,A83.8,Other mosquito-borne viral encephalitis
391,A83.9,"Mosquito-borne viral encephalitis, unspecified"
392,A84,Tick-borne viral encephalitis
393,A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
394,A84.1,Central European tick-borne encephalitis
395,A84.8,Other tick-borne viral encephalitis
396,A84.9,"Tick-borne viral encephalitis, unspecified"
397,A85,"Other viral encephalitis, not elsewhere classified"
398,A85.0,Enteroviral encephalitis
399,A85.1,Adenoviral encephalitis
400,A85.2,"Arthropod-borne viral encephalitis, unspecified"
401,A85.8,Other specified viral encephalitis
402,A86,Unspecified viral encephalitis
403,A87,Viral meningitis
404,A87.0,Enteroviral meningitis
405,A87.1,Adenoviral meningitis
406,A87.2,Lymphocytic choriomeningitis
407,A87.8,Other viral meningitis
408,A87.9,"Viral meningitis, unspecified"
409,A88,"Other viral infections of central nervous system, not elsewhere classified"
410,A88.0,Enteroviral exanthematous fever [Boston exanthem]
411,A88.1,Epidemic vertigo
412,A88.8,Other specified viral infections of central nervous system
413,A89,Unspecified viral infection of central nervous system
414,A90,Dengue fever [classical dengue]
415,A91,Dengue hemorrhagic fever
416,A92,Other mosquito-borne viral fevers
417,A92.0,Chikungunya virus disease
418,A92.1,O'nyong-nyong fever
419,A92.2,Venezuelan equine fever
420,A92.3,West Nile fever
421,A92.4,Rift Valley fever
422,A92.8,Other specified mosquito-borne viral fevers
423,A92.9,"Mosquito-borne viral fever, unspecified"
424,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
425,A93.0,Oropouche virus disease
426,A93.1,Sandfly fever
427,A93.2,Colorado tick fever
428,A93.8,Other specified arthropod-borne viral fevers
429,A94,Unspecified arthropod-borne viral fever
430,A95,Yellow fever
431,A95.0,Sylvatic yellow fever
432,A95.1,Urban yellow fever
433,A95.9,"Yellow fever, unspecified"
434,A96,Arenaviral hemorrhagic fever
435,A96.0,Junin hemorrhagic fever
436,A96.1,Machupo hemorrhagic fever
437,A96.2,Lassa fever
438,A96.8,Other arenaviral hemorrhagic fevers
439,A96.9,"Arenaviral hemorrhagic fever, unspecified"
440,A98,"Other viral hemorrhagic fevers, not elsewhere classified"
441,A98.0,Crimean-Congo hemorrhagic fever
442,A98.1,Omsk hemorrhagic fever
443,A98.2,Kyasanur Forest disease
444,A98.3,Marburg virus disease
445,A98.4,Ebola virus disease
446,A98.5,Hemorrhagic fever with renal syndrome
447,A98.8,Other specified viral hemorrhagic fevers
448,A99,Unspecified viral hemorrhagic fever
449,B00,Herpesviral [herpes simplex] infections
450,B00.0,Eczema herpeticum
451,B00.1,Herpesviral vesicular dermatitis
452,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis
453,B00.3,Herpesviral meningitis
454,B00.4,Herpesviral encephalitis
455,B00.5,Herpesviral ocular disease
456,B00.7,Disseminated herpesviral disease
457,B00.8,Other forms of herpesviral infection
458,B00.9,"Herpesviral infection, unspecified"
459,B01,Varicella [chickenpox]
460,B01.0,Varicella meningitis
461,B01.1,Varicella encephalitis
462,B01.2,Varicella pneumonia
463,B01.8,Varicella with other complications
464,B01.9,Varicella without complications
465,B02,Zoster [herpes zoster]
466,B02.0,Zoster encephalitis
467,B02.1,Zoster meningitis
468,B02.2,Zoster with other nervous system involvement
469,B02.3,Zoster ocular disease
470,B02.7,Disseminated zoster
471,B02.8,Zoster with other complications
472,B02.9,Zoster without complication
473,B03,Smallpox
474,B04,Monkeypox
475,B05,Measles
476,B05.0,Measles complicated by encephalitis
477,B05.1,Measles complicated by meningitis
478,B05.2,Measles complicated by pneumonia
479,B05.3,Measles complicated by otitis media
480,B05.4,Measles with intestinal complications
481,B05.8,Measles with other complications
482,B05.9,Measles without complication
483,B06,Rubella [German measles]
484,B06.0,Rubella with neurological complications
485,B06.8,Rubella with other complications
486,B06.9,Rubella without complication
487,B07,Viral warts
488,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
489,B08.0,Other orthopoxvirus infections
490,B08.1,Molluscum contagiosum
491,B08.2,Exanthema subitum [sixth disease]
492,B08.3,Erythema infectiosum [fifth disease]
493,B08.4,Enteroviral vesicular stomatitis with exanthem
494,B08.5,Enteroviral vesicular pharyngitis
495,B08.8,Other specified viral infections characterized by skin and mucous membrane lesions
496,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
497,B10,Other human herpesviruses
498,B15,Acute hepatitis A
499,B15.0,Hepatitis A with hepatic coma
500,B15.9,Hepatitis A without hepatic coma
501,B16,Acute hepatitis B
502,B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
503,B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
504,B16.2,Acute hepatitis B without delta-agent with hepatic coma
505,B16.9,Acute hepatitis B without delta-agent and without hepatic coma
506,B17,Other acute viral hepatitis
507,B17.0,Acute delta-(super) infection of hepatitis B carrier
508,B17.1,Acute hepatitis C
509,B17.2,Acute hepatitis E
510,B17.8,Other specified acute viral hepatitis
511,B17.9,"Acute viral hepatitis, unspecified"
512,B18,Chronic viral hepatitis
513,B18.0,Chronic viral hepatitis B with delta-agent
514,B18.1,Chronic viral hepatitis B without delta-agent
515,B18.2,Chronic viral hepatitis C
516,B18.8,Other chronic viral hepatitis
517,B18.9,"Chronic viral hepatitis, unspecified"
518,B19,Unspecified viral hepatitis
519,B19.0,Unspecified viral hepatitis with coma
520,B19.9,Unspecified viral hepatitis without coma
521,B20,Human immunodeficiency virus [HIV] disease
522,B20.0,HIV disease with mycobacterial infection
523,B20.1,HIV disease with other bacterial infections
524,B20.2,HIV disease with cytomegaloviral disease
525,B20.3,HIV disease with other viral infections
526,B20.4,HIV disease with candidiasis
527,B20.5,HIV disease with other mycoses
528,B20.6,HIV disease with Pneumocystis carinii pneumonia
529,B20.7,HIV disease with multiple infections
530,B20.8,HIV disease with other infectious and parasitic diseases
531,B20.9,HIV disease with unspecified infectious or parasitic disease
532,B21.0,HIV disease with Kaposi's sarcoma
533,B21.1,HIV disease with Burkitt's lymphoma
534,B21.2,HIV disease with other types of non-Hodgkin's lymphoma
535,B21.3,"HIV disease with other malignant neoplasms of lymphoid, hematopoietic, and related tissue"
536,B21.7,HIV disease with multiple malignant neoplasms
537,B21.8,HIV disease with other malignant neoplasms
538,B21.9,HIV disease with unspecified malignant neoplasm
539,B22.0,HIV disease with encephalopathy
540,B22.1,HIV disease with lymphoid interstitial pneumonitis
541,B22.2,HIV disease with wasting syndrome
542,B22.7,HIV disease with multiple diseases classified elsewhere
543,B23.0,Acute HIV infection syndrome
544,B23.1,HIV disease with (persistent) generalized lymphadenopathy
545,B23.2,"HIV disease with hematological and immunological abnormalities, not elsewhere classified"
546,B23.8,HIV disease with other specified conditions
547,B25,Cytomegaloviral disease
548,B25.0,Cytomegaloviral pneumonitis
549,B25.1,Cytomegaloviral hepatitis
550,B25.2,Cytomegaloviral pancreatitis
551,B25.8,Other cytomegaloviral diseases
552,B25.9,"Cytomegaloviral disease, unspecified"
553,B26,Mumps
554,B26.0,Mumps orchitis
555,B26.1,Mumps meningitis
556,B26.2,Mumps encephalitis
557,B26.3,Mumps pancreatitis
558,B26.8,Mumps with other complications
559,B26.9,Mumps without complication
560,B27,Infectious mononucleosis
561,B27.0,Gammaherpesviral mononucleosis
562,B27.1,Cytomegaloviral mononucleosis
563,B27.8,Other infectious mononucleosis
564,B27.9,"Infectious mononucleosis, unspecified"
565,B30,Viral conjunctivitis
566,B30.0,Keratoconjunctivitis due to adenovirus
567,B30.1,Conjunctivitis due to adenovirus
568,B30.2,Viral pharyngoconjunctivitis
569,B30.3,Acute epidemic hemorrhagic conjunctivitis (enteroviral)
570,B30.8,Other viral conjunctivitis
571,B30.9,"Viral conjunctivitis, unspecified"
572,B33,"Other viral diseases, not elsewhere classified"
573,B33.0,Epidemic myalgia
574,B33.1,Ross River disease
575,B33.2,Viral carditis
576,B33.3,"Retrovirus infections, not elsewhere classified"
577,B33.4,Hantavirus (cardio)-pulmonary syndrome [HPS][HCPS]
578,B33.8,Other specified viral diseases
579,B34,Viral infection of unspecified site
580,B34.0,"Adenovirus infection, unspecified"
581,B34.1,"Enterovirus infection, unspecified"
582,B34.2,"Coronavirus infection, unspecified"
583,B34.3,"Parvovirus infection, unspecified"
584,B34.4,"Papovirus infection, unspecified"
585,B34.8,Other viral infections of unspecified site
586,B34.9,"Viral infection, unspecified"
587,B35,Dermatophytosis
588,B35.0,Tinea barbae and tinea capitis
589,B35.1,Tinea unguium
590,B35.2,Tinea manuum
591,B35.3,Tinea pedis
592,B35.4,Tinea corporis
593,B35.5,Tinea imbricata
594,B35.6,Tinea cruris
595,B35.8,Other dermatophytoses
596,B35.9,"Dermatophytosis, unspecified"
597,B36,Other superficial mycoses
598,B36.0,Pityriasis versicolor
599,B36.1,Tinea nigra
600,B36.2,White piedra
601,B36.3,Black piedra
602,B36.8,Other specified superficial mycoses
603,B36.9,"Superficial mycosis, unspecified"
604,B37,Candidiasis
605,B37.0,Candidal stomatitis
606,B37.1,Pulmonary candidiasis
607,B37.2,Candidiasis of skin and nail
608,B37.3,Candidiasis of vulva and vagina
609,B37.4,Candidiasis of other urogenital sites
610,B37.5,Candidal meningitis
611,B37.6,Candidal endocarditis
612,B37.7,Candidal septicemia
613,B37.8,Candidiasis of other sites
614,B37.9,"Candidiasis, unspecified"
615,B38,Coccidioidomycosis
616,B38.0,Acute pulmonary coccidioidomycosis
617,B38.1,Chronic pulmonary coccidioidomycosis
618,B38.2,"Pulmonary coccidioidomycosis, unspecified"
619,B38.3,Cutaneous coccidioidomycosis
620,B38.4,Coccidioidomycosis meningitis
621,B38.7,Disseminated coccidioidomycosis
622,B38.8,Other forms of coccidioidomycosis
623,B38.9,"Coccidioidomycosis, unspecified"
624,B39,Histoplasmosis
625,B39.0,Acute pulmonary histoplasmosis capsulati
626,B39.1,Chronic pulmonary histoplasmosis capsulati
627,B39.2,"Pulmonary histoplasmosis capsulati, unspecified"
628,B39.3,Disseminated histoplasmosis capsulati
629,B39.4,"Histoplasmosis capsulati, unspecified"
630,B39.5,Histoplasmosis duboisii
631,B39.9,"Histoplasmosis, unspecified"
632,B40,Blastomycosis
633,B40.0,Acute pulmonary blastomycosis
634,B40.1,Chronic pulmonary blastomycosis
635,B40.2,"Pulmonary blastomycosis, unspecified"
636,B40.3,Cutaneous blastomycosis
637,B40.7,Disseminated blastomycosis
638,B40.8,Other forms of blastomycosis
639,B40.9,"Blastomycosis, unspecified"
640,B41,Paracoccidioidomycosis
641,B41.0,Pulmonary paracoccidioidomycosis
642,B41.7,Disseminated paracoccidioidomycosis
643,B41.8,Other forms of paracoccidioidomycosis
644,B41.9,"Paracoccidioidomycosis, unspecified"
645,B42,Sporotrichosis
646,B42.0,Pulmonary sporotrichosis
647,B42.1,Lymphocutaneous sporotrichosis
648,B42.7,Disseminated sporotrichosis
649,B42.8,Other forms of sporotrichosis
650,B42.9,"Sporotrichosis, unspecified"
651,B43,Chromomycosis and pheomycotic abscess
652,B43.0,Cutaneous chromomycosis
653,B43.1,Pheomycotic brain abscess
654,B43.2,Subcutaneous pheomycotic abscess and cyst
655,B43.8,Other forms of chromomycosis
656,B43.9,"Chromomycosis, unspecified"
657,B44,Aspergillosis
658,B44.0,Invasive pulmonary aspergillosis
659,B44.1,Other pulmonary aspergillosis
660,B44.2,Tonsillar aspergillosis
661,B44.7,Disseminated aspergillosis
662,B44.8,Other forms of aspergillosis
663,B44.9,"Aspergillosis, unspecified"
664,B45,Cryptococcosis
665,B45.0,Pulmonary cryptococcosis
